"AALI","AALI.JK","Astra Agro Lestari Tbk."
"ACES","ACES.JK","Ace Hardware Indonesia Tbk."
"ADHI","ADHI.JK","Adhi Karya (Persero) Tbk."
"ADRO","ADRO.JK","Adaro Energy Tbk."
"AKRA","AKRA.JK","AKR Corporindo Tbk."
"ANTM","ANTM.JK","Aneka Tambang Tbk."
"ASII","ASII.JK","Astra International Tbk."
"ASRI","ASRI.JK","Alam Sutera Realty Tbk."
"AUTO","AUTO.JK","Astra Otoparts Tbk."
"BKSL","BKSL.JK","Sentul City Tbk."
"BMTR","BMTR.JK","Global Mediacom Tbk."
"BRIS","BRIS.JK","Bank BRIsyariah Tbk."
"BRPT","BRPT.JK","Barito Pacific Tbk."
"BSDE","BSDE.JK","Bumi Serpong Damai Tbk."
"BTPS","BTPS.JK","Bank Tabungan Pensiunan Nasional Syariah Tbk."
"BWPT","BWPT.JK","Eagle High Plantations Tbk."
"CLEO","CLEO.JK","Sariguna Primatirta Tbk."
"CPIN","CPIN.JK","Charoen Pokphand Indonesia Tbk."
"CTRA","CTRA.JK","Ciputra Development Tbk."
"DMAS","DMAS.JK","Puradelta Lestari Tbk."
"ERAA","ERAA.JK","Erajaya Swasembada Tbk."
"EXCL","EXCL.JK","XL Axiata Tbk."
"GIAA","GIAA.JK","Garuda Indonesia (Persero) Tbk."
"GMFI","GMFI.JK","Garuda Maintenance Facility Aero Asia Tbk."
"HRUM","HRUM.JK","Harum Energy Tbk."
"ICBP","ICBP.JK","Indofood CBP Sukses Makmur Tbk."
"INCO","INCO.JK","Vale Indonesia Tbk."
"INDF","INDF.JK","Indofood Sukses Makmur Tbk."
"INDR","INDR.JK","Indo-Rama Synthetics Tbk."
"INDY","INDY.JK","Indika Energy Tbk."
"INTP","INTP.JK","Indocement Tunggal Prakarsa Tbk."
"ISAT","ISAT.JK","Indosat Tbk."
"ITMG","ITMG.JK","Indo Tambangraya Megah Tbk."
"JPFA","JPFA.JK","Japfa Comfeed Indonesia Tbk."
"JSMR","JSMR.JK","Jasa Marga (Persero) Tbk."
"KAEF","KAEF.JK","Kimia Farma Tbk."
"KLBF","KLBF.JK","Kalbe Farma Tbk."
"LINK","LINK.JK","Link Net Tbk."
"LPKR","LPKR.JK","Lippo Karawaci Tbk."
"LPPF","LPPF.JK","Matahari Department Store Tbk."
"LSIP","LSIP.JK","PP London Sumatra Indonesia Tbk."
"MAPI","MAPI.JK","Mitra Adiperkasa Tbk."
"MIKA","MIKA.JK","Mitra Keluarga Karyasehat Tbk."
"MNCN","MNCN.JK","Media Nusantara Citra Tbk."
"MPMX","MPMX.JK","Mitra Pinasthika Mustika Tbk."
"MYOR","MYOR.JK","Mayora Indah Tbk."
"MYRX","MYRX.JK","Hanson International Tbk."
"PPRO","PPRO.JK","PP Properti Tbk."
"PTBA","PTBA.JK","Bukit Asam Tbk."
"PTPP","PTPP.JK","PP (Persero) Tbk."
"PWON","PWON.JK","Pakuwon Jati Tbk."
"SCMA","SCMA.JK","Surya Citra Media Tbk."
"SIDO","SIDO.JK","Industri Jamu dan Farmasi Sido Muncul Tbk."
"SILO","SILO.JK","Siloam International Hospitals Tbk."
"SIMP","SIMP.JK","Salim Ivomas Pratama Tbk."
"SMGR","SMGR.JK","Semen Indonesia (Persero) Tbk."
"SMRA","SMRA.JK","Summarecon Agung Tbk."
"TARA","TARA.JK","Sitara Propertindo Tbk."
"TCPI","TCPI.JK","Transcoal Pacific Tbk."
"TINS","TINS.JK","Timah Tbk."
"TLKM","TLKM.JK","Telekomunikasi Indonesia (Persero) Tbk."
"TOPS","TOPS.JK","Totalindo Eka Persada Tbk."
"TPIA","TPIA.JK","Chandra Asri Petrochemical Tbk."
"UNTR","UNTR.JK","United Tractors Tbk."
"UNVR","UNVR.JK","Unilever Indonesia Tbk."
"WIKA","WIKA.JK","Wijaya Karya (Persero) Tbk."
"WOOD","WOOD.JK","Integra Indocabinet Tbk."
"WSBP","WSBP.JK","Waskita Beton Precast Tbk."
"WTON","WTON.JK","Wijaya Karya Beton Tbk."
"ZINC","ZINC.JK","Kapuas Prima Coal Tbk."
